FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
 Domestic Other Transaction Accts		0			0			0			0			1,711				
 Domestic Nontransaction Accts		531,552			460,578			500,611			407,314			452,081				
 Total Domestic Deposits		1,536,484			873,593			1,387,162			764,200			674,420				
 Deposits in Foreign Offices		N/A			N/A			N/A			N/A			N/A				
    Total Deposits		1,536,484			873,593			1,387,162			764,200			674,420				

 Other Liquidity/Funding Data																		
 Non Core Liabilities $250M		309,414			264,706			339,357			227,578			218,921				
 Short Term Non Core Funding		97,325			58,491			147,668			56,946			123,709				
 Core Deposits		1,227,725			613,631			1,048,460			547,105			455,499				
 Time Deps $250M & Under Mat < 1 Yr		94,975			52,787			90,474			45,512			125,157				
 Time Deps $250M & Under Mat > 1 Yr		211,567			205,542			191,253			170,941			93,901				
 Time Deps over $250M Mat < 1 Yr		322			1,829			321			1,816			841				
 Time Deps over $250M Mat > 1 Yr		0			0			0			0			2,230				
 Fed Home Loan Bor Mat < 1 Yr		0			0			0			10,483			0				
 Fed Home Loan Bor Mat > 1 Yr		655			0			655			0			0				
 Other Borrowing Mat < 1 Year		0			4,744			0			0			0				
 Other Borrowing Mat > 1 Year		0			0			0			0			0				
 Secured Other Borrowings		0			4,744			0			0			0				
 Federal Funds Purchased		0			0			0			0			0				
 Secured Fed Funds Purchased		0			0			0			0			0				
 Listing Service Deposits		0			0			0			0			0				
 Brokered Deposits		317,031			258,133			349,545			215,279			215,850				
 Reciprocal Brokered Deposits		2,137			798			55,282			0			0				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Liquidity & Inv Portfolio
OCC Charter # 0			County: JACKSON			Liquidity & Investment Portfolio--Page 10A						7/23/2025 12:03:18 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Percent of Total Assets	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Short Term Investments	32.87	7.17	98	21.96	6.83	95	33.15	6.69	98	9.54	7.35	69	7.46	6.73	64	
 Marketable Equity Sec (MES)	0.11	0.01	91	0.19	0.01	94	0.12	0.01	90	0.21	0.00	97	0.24	0.00	97	
 Net LN&LS & SBLC to Assets	45.79	70.98	3	64.96	70.20	30	47.86	71.33	4	73.73	66.47	65	75.34	64.29	72	
 Pledged Assets	12.65	40.72	6	10.91	41.52	5	11.48	40.68	5	12.11	34.55	10	9.88	29.70	12	

 Securities Mix	
 % Total Securities	
    US Treas & Govt Agencies	35.88	17.54	78	58.93	20.88	88	43.96	18.57	82	51.96	26.33	78	22.31	27.68	49	
    Municipal Securities	7.07	20.66	29	18.06	21.25	46	9.45	20.92	33	15.96	27.17	32	20.63	26.48	41	
    Pass-Through Mtg Backed Secs	4.68	24.00	19	5.32	21.89	24	6.35	24.24	23	12.10	17.60	43	19.49	17.82	56	
    CMO & REMIC Mtg Backed Secs	37.52	10.65	92	2.06	8.46	36	20.59	9.73	79	3.95	6.27	54	17.16	5.90	83	
    Commercial Mtg Back Secs	12.42	4.66	82	9.55	4.27	77	16.44	4.38	88	10.69	3.03	85	0.00	2.80	50	
    Asset Backed Securities	0.00	0.60	76	0.00	0.66	77	0.00	0.55	77	0.00	0.27	86	12.24	0.21	97	
    Structured Financial Products	0.00	0.85	65	0.00	0.63	69	0.00	0.76	66	0.00	0.28	82	0.00	0.21	83	
    Other Domestic Debt Secs	1.19	3.93	46	2.98	3.73	59	1.59	3.78	51	2.59	2.36	69	4.07	2.34	75	
    Foreign Debt Securities	0.00	0.00	92	0.00	0.00	93	0.00	0.00	93	0.00	0.00	94	0.00	0.00	93	
    Inv Mut Fnd & Oth Mktbl	1.24	0.10	93	3.11	0.11	97	1.63	0.11	94	2.75	0.02	98	4.10	0.01	99	
       Total	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	100.00	100.00	99	

 Liquidity/Securities Ratios:	
 App (Dep) Hi Risk & Struc/T1 Cap	0.00	-0.16	18	-0.01	-0.29	19	0.00	-0.18	20	-0.01	-0.37	27	0.00	-0.60	99	
 App (Dep) in AFS sec to AFS Sec	-0.47	-7.81	94	-2.28	-9.45	92	-1.87	-8.93	92	-1.24	-8.22	96	-3.29	-9.47	92	
 App (Dep) in HTM Sec to HTM Sec	N/A	-6.39	N/A	N/A	-7.22	N/A	N/A	-7.57	N/A	N/A	-4.85	N/A	N/A	-5.08	N/A	
 App (Dep) in HTM Sec to Eqy Cap	0.00	-2.90	97	0.00	-3.70	97	0.00	-3.07	98	0.00	-2.85	97	0.00	-4.50	97	
 Pledged Securities to Tot Sec	84.98	41.69	90	44.69	45.42	42	92.50	42.17	95	38.27	41.51	42	22.10	31.44	38	
 Pledged Loans to Total Loans	10.62	45.71	8	12.61	45.60	11	9.41	45.16	8	12.43	33.83	20	11.41	29.98	24	
 Loans HFS to Total Loans	9.57	0.10	98	6.69	0.11	98	10.85	0.11	98	5.24	0.03	98	0.06	0.03	81	


 Short Term Investments		574,536			229,824			525,966			89,209			60,960				
 Short Term Assets		956,514			378,373			913,654			232,118			207,163				
 Debt Securities 90+ Days P/D		0			0			0			0			0				
 Total Non-Current Debt Sec		0			0			0			0			0				
 Fair Value Structured Notes		973			930			965			929			0				
 Pledged Securities		135,412			27,907			110,209			27,319			10,400				
 Pledged Loans & Leases		85,619			86,249			71,890			85,946			70,358				
 Loans HFS		77,163			45,728			82,918			36,194			347				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Capital Analysis-a
OCC Charter # 0			County: JACKSON			Capital Analysis--Page 11						7/23/2025 12:03:19 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Capital Ratios	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Bank Equity:	
    Net Loans & Leases (x)	4.68	7.37	8	4.92	7.67	9	4.63	7.55	6	5.12	7.52	14	5.28	7.83	13	
    Subord Notes & Debentures	0.00	0.02	99	0.00	0.01	99	0.00	0.02	99	0.00	0.12	99	0.00	0.15	99	
    Com RE & Related Ventures	120.06	326.03	5	114.67	342.57	5	106.19	335.06	4	122.00	290.50	12	140.20	311.48	14	
 Percent of Average Bank Equity:	
    Net Income	12.05	11.39	58	10.63	10.57	52	15.07	10.87	80	13.17	13.19	53	6.43	13.75	6	
    Dividends	0.00	3.61	36	0.00	3.06	39	0.00	4.14	16	0.00	5.38	14	0.00	5.03	15	
    Retained Earnings	12.05	6.90	82	10.63	6.77	77	15.07	6.15	95	13.17	7.15	87	6.43	8.16	32	
 Other Capital Ratios:	
    Dividends to Net Operating Income	0.00	31.23	35	0.00	28.39	39	0.00	37.02	15	0.00	39.57	13	0.00	34.38	14	
    Bank Eq Cap + Min Int to Assets	9.78	9.76	54	13.18	9.38	91	10.33	9.62	67	14.35	9.11	94	14.20	8.48	95	
 Growth Rates:	
    Total Equity Capital	23.89	11.14	91	15.14	9.58	81	22.13	8.47	92	15.62	14.01	65	101.05	-11.79	99	
    Equity Growth Less Asst Growth	-43.13	5.43	0	7.58	3.88	70	-47.53	3.09	0	1.19	8.94	24	90.37	-16.20	99	
 Intang Assets % Bank Equity	
    Mortgage Servicing Rights	0.00	0.32	63	0.00	0.36	62	0.00	0.33	63	0.00	0.30	74	0.00	0.37	74	
    Goodwill	19.81	3.64	95	24.54	3.87	97	20.65	3.70	95	25.23	1.58	98	29.66	1.74	98	
    All Other Intangibles	6.19	0.43	97	5.39	0.38	97	6.14	0.43	97	4.80	0.16	97	2.50	0.18	94	
    Total Intangibles	26.00	5.00	96	29.93	5.23	97	26.80	5.11	96	30.03	2.57	98	32.16	2.92	98	

 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	

 Standardized Capital Ratios	
    Com Equity Tier 1 Cap Ratio	26.2691	13.45	98	26.8981	13.35	98	24.2495	13.35	96	24.4396	14.43	94	21.1104	14.36	91	
    Tier 1 Capital Ratio	26.2691	13.47	97	26.8981	13.38	98	24.2495	13.38	96	24.4396	14.44	94	21.1104	14.39	90	
    Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	

 Adv App Cap Ratios	
    Com Equity Tier 1 Cap Ratio	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Tier 1 Capital Ratio	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    Total Capital Ratio	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	


 End of Period Capital ($000)																		
    Perpetual Preferred		0			0			0			0			0				
    + Common Stock		60			60			60			60			60				
    + Surplus		126,014			116,954			125,186			116,412			114,990				
    + Retained Earnings		45,419			22,020			40,377			18,404			2,196				
    + Accum Other Comp Income		-564			-1,071			-1,702			-661			-1,165				
    + Other Equity Capital Comp		0			0			0			0			0				
       Total Bank Equity Capital		170,929			137,963			163,921			134,215			116,081				
          Minority Interest Cons Subs		0			0			0			0			0				
       Total Bank Capital & Min Int		170,929			137,963			163,921			134,215			116,081				

 Subordinated Notes & Debentures		0			0			0			0			0				

 Changes in Bank Equity ($000)																		
    Balance at Beginning of Period		163,920			134,215			134,215			116,081			57,736				
    + Net Income		5,042			3,617			21,973			16,371			2,196				
    + Sales or Purchase of Capital		0			0			0			0			0				
    + Merger & Absorptions		0			0			0			0			26,661				
    + Restate due to Acctg Error&Chg		0			0			0			-741			0				
    + Trans with Parent		828			542			8,774			1,999			30,653				
    - Dividends		0			0			0			0			0				
    + Other Comprehensive Income		1,139			-411			-1,042			505			-1,165				
       Balance at End of Period		170,929			137,963			163,920			134,215			116,081				

 Intangible Assets																		
    Mortgage Servicing Rights		0			0			0			0			0				
    + All Other Intangibles		10,588			7,441			10,071			6,447			2,903				
    + Goodwill		33,856			33,856			33,856			33,856			34,433				
       Total Intangibles		44,444			41,297			43,927			40,303			37,336				

 Total Assets for Leverage Ratio:																		
    Average Total Consolidated Assets		1,688,049			1,025,836			1,482,291			984,950			821,464				
    Less: Ded from CET1 Cap & add T1C		44,774			41,297			44,235			40,303			37,336				
    Less: Other Deductions		0			0			0			0			0				
    Total Assets for Leverage Ratio		1,643,275			984,539			1,438,056			944,647			784,128				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Capital Analysis-b
OCC Charter # 0			County: JACKSON			Capital Analysis--Page 11A						7/23/2025 12:03:20 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Capital Analysis ($000)																		
 Common Equity Tier 1 Capital: ($000)																		
 Common Stock Plus Related Surplus		126,074			117,014			125,246			116,472			115,050				
 Retained Earnings		45,419			22,020			40,377			18,404			2,196				
 Accum Other Comprehensive Inc (AOCI)		-564			-1,071			-1,702			-661			-1,165				
 Common Equity T1 Minority Interest		0			0			0			0			0				
 Common Equity T1 Cap Before Adj/Ded		170,929			137,963			163,921			134,215			116,081				

 Common Equity Tier 1 Capital: Adj/Ded																		
    Less: Goodwill		33,856			33,856			33,856			33,856			34,433				
    Less: Intangible Assets		10,588			7,441			10,071			6,447			2,903				
    Less: DTA (NOL & Tax Credit Only)		330			0			308			0			0				
    AOCI-Related Adjustments-Opt Out		-564			-1,071			-1,702			-661			-1,165				
    AOCI-Related Adjustments-No Opt Out		N/A			N/A			N/A			N/A			N/A				
    Oth Ded (add) CET1 bef threshold ded		0			0			0			0			0				
    Less: Non-significant Investments		N/A			N/A			N/A			N/A			N/A				
 Subtotal before Threshold Limits		126,719			97,737			121,388			94,573			79,910				
    Less: Sig Inv, MSAs, DTA > 10% Limit		N/A			N/A			N/A			N/A			N/A				
    Less: Sig Inv, MSAs, DTA > 15% Limit		N/A			N/A			N/A			N/A			N/A				
       Less: Tot Sig Inv, MSAs, DTA  > Limit		0			0			0			0			0				
    Less: Ded due to insuff T1 and T2 Cap		0			0			0			0			0				
    Total Adj and Ded for CET1 Capital		0			0			0			0			0				
 Common Equity Tier 1 Capital		126,719			97,737			121,388			94,573			79,910				

 Additional Tier 1 Capital:																		
    Additional T1C Inst & Related Surplus		0			0			0			0			0				
    Non-qualifying Cap Inst sub to phaseout		0			0			0			0			0				
    Tier 1 Minority Int Not Incl in CET1 Cap		0			0			0			0			0				
    Additional T1 Cap Before Deductions		0			0			0			0			0				
    Less: Additional T1 Cap Deductions		0			0			0			0			0				
 Additional Tier 1 Capital		0			0			0			0			0				

 Tier 1 Capital		126,719			97,737			121,388			94,573			79,910				

 Tier 2 Capital:																		
    T2 Cap Instruments & Related Surplus		0			0			0			0			0				
    Non-qualifying Capital Instruments		0			0			0			0			0				
    Tot Cap Min Int Not Incl in T1 Cap		0			0			0			0			0				
    Adjusted ACL in Tier 2 Capital		6,039			4,545			5,715			4,522			3,060				
    Exited Adv App Eligible Cr Reserves		N/A			N/A			N/A			N/A			N/A				
    Unrealized Gains on AFS Pref Stock		N/A			N/A			N/A			N/A			N/A				
 Tier 2 Capital Before Deductions		6,039			4,545			5,715			4,522			3,060				
 Exited Adv App T2C Before Deductions		N/A			N/A			N/A			N/A			N/A				
 Less: Tier 2 Capital Deductions		0			0			0			0			0				

 Tier 2 Capital - Standardized Approaches		6,039			4,545			5,715			4,522			3,060				
 Tier 2 Capital - Advanced Approaches		N/A			N/A			N/A			N/A			N/A				
 Total Capital - Standardized Approaches		132,758			102,282			127,103			99,095			82,970				
 Total Capital - Advanced Approaches		N/A			N/A			N/A			N/A			N/A				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Capital Analysis-c
OCC Charter # 0			County: JACKSON			Capital Analysis--Page 11B						7/23/2025 12:03:20 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Risk Weighted Assets																		
 On BS Assets and Securitization Exp																		
    2% Category		N/A			N/A			0			0			0				
    4% Category		N/A			N/A			0			0			0				
    20% Category		N/A			N/A			28,014			10,730			9,929				
    50% Category		N/A			N/A			21,794			19,538			13,386				
    100% Category		N/A			N/A			399,361			303,394			305,012				
    150% Category		N/A			N/A			22,455			23,214			14,374				
    250% Category		N/A			N/A			9,530			7,435			9,468				
    300% Category		N/A			N/A			0			0			0				
    400% Category		N/A			N/A			0			0			0				
    600% Category		N/A			N/A			0			0			0				
    1250% Category		N/A			N/A			0			0			0				
 Other Risk-Weighting App Categories		N/A			N/A			0			0			0				
 Tot RWA Securitization Exp SSFA Mthd		N/A			N/A			0			0			0				
 Total RWA Securitization Exp Gross-Up		N/A			N/A			0			0			0				
 On-Balance Sheet Risk Weighted Assets		N/A			N/A			481,154			364,311			352,168				
 Memo - 0% Category - $		N/A			N/A			948,274			485,503			389,708				

 Off BS/Oth Items Subj to Risk Weighting																		
    2% Category		N/A			N/A			0			0			0				
    4% Category		N/A			N/A			0			0			0				
    10% Category		N/A			N/A			0			0			0				
    20% Category		N/A			N/A			0			0			0				
    50% Category		N/A			N/A			0			0			0				
    100% Category		N/A			N/A			19,426			22,656			26,364				
    150% Category		N/A			N/A			0			0			0				
    625% Category		N/A			N/A			0			0			0				
    937.5% Category		N/A			N/A			0			0			0				
    1250% Category		N/A			N/A			0			0			0				
    1250% Category Securitization Exp		N/A			N/A			0			0			0				
 Oth Risk-Weighting App Categories		N/A			N/A			0			0			0				
 Tot RWA Securitization Exp SSFA Mthd		N/A			N/A			0			0			0				
 Total RWA Securitization Exp Gross-Up		N/A			N/A			0			0			0				
 Tot Deriv, Off-BS and Oth - Risk Wght		N/A			N/A			19,426			22,656			26,364				
 Memo - 0% Category - $		N/A			N/A			0			0			0				

 Standardized Market Risk Weighted Assets		0			0			0			0			0				

 Risk-Weighted Asset Before Ded		483,144			363,623			500,580			386,967			378,534				
 - Excess Adjusted ACL on LN&LS Loss		756			263			0			0			0				
 - Allocated Transfer Risk Reserve		0			0			0			0			0				
 Total Risk Weighted Assets		482,388			363,360			500,580			386,967			378,534				

 Current Credit Exposure All Derivatives		N/A			N/A			0			0			0				

 Derivatives Notional Prin Amounts																		
 OTC Contracts Total		N/A			N/A			0			0			0				
    Interest Rate		N/A			N/A			0			0			0				
    All Other		N/A			N/A			0			0			0				
 Centrally Clreared Contracts Total		N/A			N/A			0			0			0				
    Interest Rate		N/A			N/A			0			0			0				
    All Other		N/A			N/A			0			0			0				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Capital Analysis-d
OCC Charter # 0			County: JACKSON			Capital Analysis--Page 11C						7/23/2025 12:03:21 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 THIS PAGE IS INTENTIONALLY BLANK BECAUSE IT IS BEING DISCONTINUED.  THE CONTENT PREVIOUSLY DISPLAYED ON THIS PAGE IS PRESENTED ON THE TWO PRECEDING CAPITAL PAGES.  THIS PAGE WILL BE REMOVED AT A LATER DATE.																		



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement 1-Qtr-Ann
OCC Charter # 0			County: JACKSON			One Quarter Annualized Income Analysis--Page 12						7/23/2025 12:03:21 PM
Public Report
		3/31/2025			12/31/2024			9/30/2024			6/30/2024			3/31/2024		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	9.41	5.36	98	10.72	5.40	98	10.47	5.28	98	11.23	5.12	99	
    - Interest Expense	0.63	1.97	1	0.82	2.10	2	0.89	2.22	3	0.92	2.16	3	0.56	2.07	1	
       Net Interest Income (TE)	7.94	3.28	98	8.59	3.26	99	9.83	3.19	99	9.55	3.13	99	10.67	3.07	99	
    + Noninterest Income	4.65	0.61	98	5.37	0.64	98	4.92	0.63	98	4.44	0.62	98	4.26	0.61	98	
    - Noninterest Expense	10.57	2.46	99	10.67	2.48	99	12.20	2.42	99	11.63	2.41	99	12.85	2.42	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	3.30	1.47	95	2.55	1.43	91	2.36	1.38	89	2.08	1.30	85	
    - Provision: Credit Losses	0.42	0.10	93	0.28	0.13	82	0.15	0.10	71	0.27	0.10	85	0.14	0.08	77	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	16	0.05	0.00	93	0.03	0.00	88	-0.02	0.00	18	
       Pretax Operating Income (TE)	1.60	1.34	69	3.03	1.31	95	2.35	1.30	91	2.07	1.25	86	1.95	1.19	86	
    + Realized Gains/Losses Sec	0.00	0.00	92	0.00	0.00	90	0.00	0.00	89	0.00	0.00	94	-0.04	0.00	6	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.02	0.00	6	0.03	0.00	94	0.00	0.00	13	-0.01	0.00	3	
    Pretax Net Operating Income (TE)	1.61	1.34	70	3.01	1.30	95	2.37	1.30	91	2.07	1.24	87	1.91	1.19	83	
       Net Operating Income	1.19	1.09	61	2.39	1.06	95	1.87	1.05	88	1.53	1.00	81	1.41	0.97	79	
    Net Inc Attrib Min Ints	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	
    Net Income Adjusted Sub S	1.19	1.04	65	2.39	1.01	96	1.87	1.01	91	1.53	0.96	84	1.41	0.93	81	
       Net Income	1.19	1.09	61	2.39	1.06	95	1.87	1.05	88	1.53	1.00	81	1.41	0.97	79	

 Margin Analysis:	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	10.32	5.61	98	11.48	5.66	99	10.60	5.54	98	12.03	5.38	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.90	2.20	2	0.95	2.33	3	0.93	2.26	3	0.60	2.17	1	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	9.42	3.43	99	10.52	3.35	99	9.67	3.29	99	11.43	3.23	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.43	0.11	88	0.06	0.07	65	0.27	0.07	87	0.02	0.06	55	
 Earnings Coverage of Net Loss (X)	12.49	22.95	46	14.09	25.29	47	63.79	19.60	70	13.13	18.94	46	166.88	14.01	83	
 ACL on LN&LS HFI to Net Losses (X)	2.38	7.75	35	1.56	14.11	27	11.69	6.57	50	2.51	0.51	32	36.37	5.37	66	

 Capitalization	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	40.61	32	0.00	26.30	36	0.00	30.51	35	0.00	27.68	40	
 Retain Earns to Avg Total Equity	12.05	6.89	82	22.52	5.45	98	14.46	7.26	90	12.02	6.65	83	10.63	6.69	77	

 Yield on or Cost of:	
 Total Loan & Leases (TE)	13.36	6.24	99	13.99	6.38	99	13.81	6.41	99	13.72	6.26	99	14.47	6.14	99	
